locus_tag	ftype	length_bp	gene	EC_number	COG	product
SPN_0140_00059	CDS	1425				hypothetical protein
SPN_0140_00060	CDS	1335				hypothetical protein
SPN_0140_00061	CDS	879				hypothetical protein
SPN_0140_00062	CDS	825				hypothetical protein
SPN_0140_00063	CDS	744	tagA	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
SPN_0140_00064	CDS	1362				hypothetical protein
SPN_0140_00065	CDS	690	cpsD	2.7.10.2		Tyrosine-protein kinase CpsD
SPN_0140_00066	CDS	693	ywqC		COG3944	putative capsular polysaccharide biosynthesis protein YwqC
SPN_0140_00067	CDS	732	cpsB	3.1.3.48	COG4464	Tyrosine-protein phosphatase CpsB
SPN_0140_00068	CDS	1446	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
SPN_0140_00069	CDS	786				hypothetical protein
SPN_0140_00070	CDS	1611	dexB	3.2.1.70	COG0366	Glucan 1,6-alpha-glucosidase
SPN_0140_00071	CDS	1485				hypothetical protein
SPN_0140_00072	CDS	483	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
SPN_0140_00073	CDS	351				hypothetical protein
SPN_0140_00074	CDS	2106	clpC_1			putative ATP-dependent Clp protease ATP-binding subunit
SPN_0140_00075	CDS	981	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
SPN_0140_00076	CDS	2253	pbpX		COG0768	Penicillin-binding protein 2X
SPN_0140_00077	CDS	318	ftsL			Cell division protein FtsL
SPN_0140_00078	CDS	951	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
SPN_0140_00079	CDS	195				hypothetical protein
SPN_0140_00080	CDS	243				hypothetical protein
SPN_0140_00081	CDS	336				hypothetical protein
SPN_0140_00082	CDS	1002	kdgR		COG1609	HTH-type transcriptional regulator KdgR
SPN_0140_00083	CDS	1902				hypothetical protein
SPN_0140_00084	CDS	294				hypothetical protein
SPN_0140_00085	CDS	819	manZ_1		COG3716	PTS system mannose-specific EIID component
SPN_0140_00086	CDS	780	agaC		COG3715	N-acetylgalactosamine permease IIC component 1
SPN_0140_00087	CDS	492	levE_1	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
SPN_0140_00088	CDS	1191	ugl	3.2.1.180		Unsaturated chondroitin disaccharide hydrolase
SPN_0140_00089	CDS	435				hypothetical protein
SPN_0140_00090	CDS	816	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
SPN_0140_00091	CDS	642				hypothetical protein
SPN_0140_00092	CDS	1002	kdgK	2.7.1.45		2-dehydro-3-deoxygluconokinase
SPN_0140_00093	CDS	630	kdgA		COG0800	KHG/KDPG aldolase
SPN_0140_00094	CDS	216				IS200/IS605 family transposase ISStin10
SPN_0140_00095	CDS	3204		4.2.2.1		Hyaluronate lyase
SPN_0140_00096	CDS	477	bsaA			Glutathione peroxidase BsaA
SPN_0140_00097	CDS	2214				hypothetical protein
SPN_0140_00098	CDS	126				hypothetical protein
SPN_0140_00099	CDS	177				hypothetical protein
SPN_0140_00100	CDS	423	xerC_1			Tyrosine recombinase XerC
SPN_0140_00101	CDS	393	rpsI		COG0103	30S ribosomal protein S9
SPN_0140_00102	CDS	447	rplM			50S ribosomal protein L13
SPN_0140_00103	CDS	318				hypothetical protein
SPN_0140_00104	CDS	813	sulD		COG0801	Bifunctional folate synthesis protein
SPN_0140_00105	CDS	555	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
SPN_0140_00106	CDS	1323	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
SPN_0140_00107	CDS	951	sulA	2.5.1.15	COG0294	Dihydropteroate synthase
SPN_0140_00108	CDS	708				hypothetical protein
SPN_0140_00109	CDS	1419	adeQ		COG2252	Adenine permease AdeQ
SPN_0140_00110	CDS	813	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
SPN_0140_00111	CDS	1020	adhA	1.1.1.1		Alcohol dehydrogenase 1
SPN_0140_00112	CDS	990	manX_1	2.7.1.191		PTS system mannose-specific EIIAB component
SPN_0140_00113	CDS	804	sorA		COG3715	PTS system sorbose-specific EIIC component
SPN_0140_00114	CDS	912	manZ_2		COG3716	PTS system mannose-specific EIID component
SPN_0140_00115	CDS	1335	pepC	3.4.22.40	COG3579	Aminopeptidase C
SPN_0140_00116	CDS	723	rsuA_1	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
SPN_0140_00117	CDS	231				hypothetical protein
SPN_0140_00118	CDS	1242	pepS	3.4.11.-	COG2309	Aminopeptidase PepS
SPN_0140_00119	CDS	153				hypothetical protein
SPN_0140_00120	CDS	279	yafQ	3.1.-.-		mRNA interferase toxin YafQ
SPN_0140_00121	CDS	264				hypothetical protein
SPN_0140_00122	CDS	4392	polC	2.7.7.7	COG2176	DNA polymerase III PolC-type
SPN_0140_00123	CDS	2082	fus			Elongation factor G
SPN_0140_00124	CDS	471	rpsG		COG0049	30S ribosomal protein S7
SPN_0140_00125	CDS	414	rpsL		COG0048	30S ribosomal protein S12
SPN_0140_00126	CDS	3798	glgX_1	3.2.1.196		Glycogen debranching enzyme
SPN_0140_00127	CDS	1050	luxA	1.14.14.3		Alkanal monooxygenase alpha chain
SPN_0140_00128	CDS	1809	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
SPN_0140_00129	CDS	1380	gmuD_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
SPN_0140_00130	CDS	1854	proS	6.1.1.15	COG0442	Proline--tRNA ligase
SPN_0140_00131	CDS	1260		3.4.24.-		Putative zinc metalloprotease
SPN_0140_00132	CDS	804				hypothetical protein
SPN_0140_00133	CDS	759	uppS	2.5.1.-	COG0020	Isoprenyl transferase
SPN_0140_00134	CDS	573				hypothetical protein
SPN_0140_00135	CDS	972	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
SPN_0140_00136	CDS	417				hypothetical protein
SPN_0140_00137	CDS	696				hypothetical protein
SPN_0140_00138	CDS	2502	leuS	6.1.1.4		Leucine--tRNA ligase
SPN_0140_00139	CDS	1089	gldA	1.1.1.6		Glycerol dehydrogenase
SPN_0140_00140	CDS	669	fsaA	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 1
SPN_0140_00141	CDS	2439	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
SPN_0140_00142	CDS	1299	licC_1		COG1455	Lichenan permease IIC component
SPN_0140_00143	CDS	309	gmuB	2.7.1.205	COG1440	PTS system oligo-beta-mannoside-specific EIIB component
SPN_0140_00144	CDS	321	licA_1		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
SPN_0140_00145	CDS	981	sorC_1		COG2390	Sorbitol operon regulator
SPN_0140_00146	CDS	747	srlR_1		COG1349	Glucitol operon repressor
SPN_0140_00147	CDS	777	hpdA	1.97.1.-	COG1180	4-hydroxyphenylacetate decarboxylase activating enzyme
SPN_0140_00148	CDS	102				hypothetical protein
SPN_0140_00149	CDS	195				hypothetical protein
SPN_0140_00150	CDS	366				hypothetical protein
SPN_0140_00151	CDS	1092	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
SPN_0140_00152	CDS	627				hypothetical protein
SPN_0140_00153	CDS	603				hypothetical protein
SPN_0140_00154	CDS	414				hypothetical protein
SPN_0140_00155	CDS	693	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
SPN_0140_00156	CDS	1338				hypothetical protein
SPN_0140_00157	CDS	267				hypothetical protein
SPN_0140_00158	CDS	387	rplQ		COG0203	50S ribosomal protein L17
SPN_0140_00159	CDS	936	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
SPN_0140_00160	CDS	384	rpsK			30S ribosomal protein S11
SPN_0140_00161	CDS	366	rpsM		COG0099	30S ribosomal protein S13
SPN_0140_00162	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
SPN_0140_00163	CDS	219	infA		COG0361	Translation initiation factor IF-1
SPN_0140_00164	CDS	639	adk	2.7.4.3	COG0563	Adenylate kinase
SPN_0140_00165	CDS	1311	secY			Protein translocase subunit SecY
SPN_0140_00166	CDS	441	rplO			50S ribosomal protein L15
SPN_0140_00167	CDS	183	rpmD		COG1841	50S ribosomal protein L30
SPN_0140_00168	CDS	495	rpsE			30S ribosomal protein S5
SPN_0140_00169	CDS	357	rplR		COG0256	50S ribosomal protein L18
SPN_0140_00170	CDS	537	rplF		COG0097	50S ribosomal protein L6
SPN_0140_00171	CDS	399	rpsH			30S ribosomal protein S8
SPN_0140_00172	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
SPN_0140_00173	CDS	543	rplE		COG0094	50S ribosomal protein L5
SPN_0140_00174	CDS	306	rplX		COG0198	50S ribosomal protein L24
SPN_0140_00175	CDS	369	rplN		COG0093	50S ribosomal protein L14
SPN_0140_00176	CDS	261	rpsQ		COG0186	30S ribosomal protein S17
SPN_0140_00177	CDS	207	rpmC		COG0255	50S ribosomal protein L29
SPN_0140_00178	CDS	414	rplP		COG0197	50S ribosomal protein L16
SPN_0140_00179	CDS	654	rpsC		COG0092	30S ribosomal protein S3
SPN_0140_00180	CDS	345	rplV		COG0091	50S ribosomal protein L22
SPN_0140_00181	CDS	282	rpsS		COG0185	30S ribosomal protein S19
SPN_0140_00182	CDS	834	rplB		COG0090	50S ribosomal protein L2
SPN_0140_00183	CDS	297	rplW			50S ribosomal protein L23
SPN_0140_00184	CDS	624	rplD		COG0088	50S ribosomal protein L4
SPN_0140_00185	CDS	627	rplC		COG0087	50S ribosomal protein L3
SPN_0140_00186	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
SPN_0140_00187	CDS	618	udk_1	2.7.1.48		Uridine kinase
SPN_0140_00188	CDS	591				hypothetical protein
SPN_0140_00189	CDS	507				hypothetical protein
SPN_0140_00190	CDS	2208	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
SPN_0140_00191	CDS	1539				hypothetical protein
SPN_0140_00192	CDS	144				hypothetical protein
SPN_0140_00193	CDS	1533	cls	2.7.8.-		Cardiolipin synthase
SPN_0140_00194	CDS	432				hypothetical protein
SPN_0140_00195	CDS	1251	fpgS_2	6.3.2.17		Folylpolyglutamate synthase
SPN_0140_00196	CDS	306				hypothetical protein
SPN_0140_00197	CDS	420	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
SPN_0140_00198	CDS	267				hypothetical protein
SPN_0140_00199	CDS	570				hypothetical protein
SPN_0140_00200	CDS	399	spxA_1		COG1393	Regulatory protein Spx
SPN_0140_00201	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
SPN_0140_00202	CDS	2832	uvrA			UvrABC system protein A
SPN_0140_00203	CDS	945				hypothetical protein
SPN_0140_00204	CDS	684				hypothetical protein
SPN_0140_00205	CDS	1032	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
SPN_0140_00206	CDS	426				hypothetical protein
SPN_0140_00207	CDS	180				hypothetical protein
SPN_0140_00208	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
SPN_0140_00209	CDS	594	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
SPN_0140_00210	CDS	1101	ribD		COG0117	Riboflavin biosynthesis protein RibD
SPN_0140_00211	CDS	636	ribE	2.5.1.9	COG0307	Riboflavin synthase
SPN_0140_00212	CDS	1206	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
SPN_0140_00213	CDS	468	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
SPN_0140_00214	CDS	1950	mutL		COG0323	DNA mismatch repair protein MutL
SPN_0140_00215	CDS	441			COG3279	putative HTH-type transcriptional regulator
SPN_0140_00216	CDS	459				hypothetical protein
SPN_0140_00217	CDS	1263				hypothetical protein
SPN_0140_00218	CDS	471			COG1780	Putative NrdI-like protein
SPN_0140_00219	CDS	534				hypothetical protein
SPN_0140_00220	CDS	1287	cheB	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
SPN_0140_00221	CDS	1683				hypothetical protein
SPN_0140_00222	CDS	615				hypothetical protein
SPN_0140_00223	CDS	570				hypothetical protein
SPN_0140_00224	CDS	693	metP		COG2011	Methionine import system permease protein MetP
SPN_0140_00225	CDS	1062	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
SPN_0140_00226	CDS	1374	dapE	3.5.1.18		Succinyl-diaminopimelate desuccinylase
SPN_0140_00227	CDS	855	metQ		COG1464	D-methionine-binding lipoprotein MetQ
SPN_0140_00228	CDS	831	tcyA_1		COG0834	L-cystine-binding protein TcyA
SPN_0140_00229	CDS	831	tcyA_2		COG0834	L-cystine-binding protein TcyA
SPN_0140_00230	CDS	615				hypothetical protein
SPN_0140_00231	CDS	285				hypothetical protein
SPN_0140_00232	CDS	1227				hypothetical protein
SPN_0140_00233	CDS	666				hypothetical protein
SPN_0140_00234	CDS	678				hypothetical protein
SPN_0140_00235	CDS	234				hypothetical protein
SPN_0140_00236	CDS	864				hypothetical protein
SPN_0140_00237	CDS	1173	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
SPN_0140_00238	CDS	750	btrD	3.5.1.112		2'-N-acetylparomamine deacetylase
SPN_0140_00239	CDS	411				hypothetical protein
SPN_0140_00240	CDS	1617	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
SPN_0140_00241	CDS	876				hypothetical protein
SPN_0140_00242	CDS	462	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
SPN_0140_00243	CDS	555				hypothetical protein
SPN_0140_00244	CDS	930				hypothetical protein
SPN_0140_00245	CDS	387				ISL3 family transposase ISSth1
SPN_0140_00246	CDS	1011	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
SPN_0140_00247	CDS	438				hypothetical protein
SPN_0140_00248	CDS	684	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
SPN_0140_00249	CDS	186				hypothetical protein
SPN_0140_00250	CDS	153				hypothetical protein
SPN_0140_00251	CDS	324				hypothetical protein
SPN_0140_00252	CDS	234				hypothetical protein
SPN_0140_00253	CDS	1680	rnj1	3.1.-.-		Ribonuclease J 1
SPN_0140_00254	CDS	1914	mnmG			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
SPN_0140_00255	CDS	456				hypothetical protein
SPN_0140_00256	CDS	1122	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
SPN_0140_00257	CDS	243	lytA_1	3.5.1.28		Autolysin
SPN_0140_00258	CDS	396	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
SPN_0140_00259	CDS	153				hypothetical protein
SPN_0140_00260	CDS	732	glnH_1		COG0834	ABC transporter glutamine-binding protein GlnH
SPN_0140_00261	CDS	648	bcrA_1			Bacitracin transport ATP-binding protein BcrA
SPN_0140_00262	CDS	678				hypothetical protein
SPN_0140_00263	CDS	753				hypothetical protein
SPN_0140_00264	CDS	765				hypothetical protein
SPN_0140_00265	CDS	351				hypothetical protein
SPN_0140_00266	CDS	633	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
SPN_0140_00267	CDS	702	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
SPN_0140_00268	CDS	1209	divIB		COG1589	Cell division protein DivIB
SPN_0140_00269	CDS	1059	murG	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
SPN_0140_00270	CDS	1353	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
SPN_0140_00271	CDS	642	yxdL_1		COG1136	ABC transporter ATP-binding protein YxdL
SPN_0140_00272	CDS	303				hypothetical protein
SPN_0140_00273	CDS	864				hypothetical protein
SPN_0140_00274	CDS	624				hypothetical protein
SPN_0140_00275	CDS	255				hypothetical protein
SPN_0140_00276	CDS	1842	typA		COG1217	GTP-binding protein TypA/BipA
SPN_0140_00277	CDS	726	rsuA_2	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
SPN_0140_00278	CDS	381	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
SPN_0140_00279	CDS	270				hypothetical protein
SPN_0140_00280	CDS	969	hdfR			HTH-type transcriptional regulator HdfR
SPN_0140_00281	CDS	756		1.-.-.-		putative oxidoreductase
SPN_0140_00282	CDS	930	rnz	3.1.26.11	COG1234	Ribonuclease Z
SPN_0140_00283	CDS	624				hypothetical protein
SPN_0140_00284	CDS	1239	hflX		COG2262	GTPase HflX
SPN_0140_00285	CDS	885	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
SPN_0140_00286	CDS	171				hypothetical protein
SPN_0140_00287	CDS	840	thyA	2.1.1.45	COG0207	Thymidylate synthase
SPN_0140_00288	CDS	960	glcK	2.7.1.2	COG1940	Glucokinase
SPN_0140_00289	CDS	786				hypothetical protein
SPN_0140_00290	CDS	1527				hypothetical protein
SPN_0140_00291	CDS	1722	menF	5.4.4.2		Isochorismate synthase MenF
SPN_0140_00292	CDS	5670				hypothetical protein
SPN_0140_00293	CDS	564				hypothetical protein
SPN_0140_00294	CDS	1692				hypothetical protein
SPN_0140_00295	CDS	738			COG4753	putative response regulatory protein
SPN_0140_00296	CDS	1113	msrAB		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB
SPN_0140_00297	CDS	567	resA_1			Thiol-disulfide oxidoreductase ResA
SPN_0140_00298	CDS	711	dsbD_1	1.8.1.8		Thiol:disulfide interchange protein DsbD
SPN_0140_00299	CDS	861				hypothetical protein
SPN_0140_00300	CDS	2055				hypothetical protein
SPN_0140_00301	CDS	255				hypothetical protein
SPN_0140_00302	CDS	558				hypothetical protein
SPN_0140_00303	CDS	447				hypothetical protein
SPN_0140_00304	CDS	510				hypothetical protein
SPN_0140_00305	CDS	360				hypothetical protein
SPN_0140_00306	CDS	246				hypothetical protein
SPN_0140_00307	CDS	624				hypothetical protein
SPN_0140_00308	CDS	6702	lacZ	3.2.1.23		Beta-galactosidase
SPN_0140_00309	CDS	1476	gatC_1		COG3775	PTS system galactitol-specific EIIC component
SPN_0140_00310	CDS	306				hypothetical protein
SPN_0140_00311	CDS	477				hypothetical protein
SPN_0140_00312	CDS	6435				hypothetical protein
SPN_0140_00313	CDS	225				hypothetical protein
SPN_0140_00314	CDS	786				hypothetical protein
SPN_0140_00315	CDS	819				hypothetical protein
SPN_0140_00316	CDS	993	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
SPN_0140_00317	CDS	246				hypothetical protein
SPN_0140_00318	CDS	363				hypothetical protein
SPN_0140_00319	CDS	690	rplA			50S ribosomal protein L1
SPN_0140_00320	CDS	426	rplK			50S ribosomal protein L11
SPN_0140_00321	CDS	717	yodJ	3.4.-.-	COG1876	Putative carboxypeptidase YodJ
SPN_0140_00322	CDS	462				hypothetical protein
SPN_0140_00323	CDS	1038	pepA_1	3.4.11.7	COG1363	Glutamyl aminopeptidase
SPN_0140_00324	CDS	1326	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
SPN_0140_00325	CDS	153				hypothetical protein
SPN_0140_00326	CDS	579				hypothetical protein
SPN_0140_00327	CDS	1401	pepV	3.4.13.-		Beta-Ala-Xaa dipeptidase
SPN_0140_00328	CDS	606		1.-.-.-		Putative NAD(P)H nitroreductase
SPN_0140_00329	CDS	801	tcyJ		COG0834	L-cystine-binding protein TcyJ
SPN_0140_00330	CDS	282				hypothetical protein
SPN_0140_00331	CDS	438				hypothetical protein
SPN_0140_00332	CDS	1848	uvrC		COG0322	UvrABC system protein C
SPN_0140_00333	CDS	702				hypothetical protein
SPN_0140_00334	CDS	1233	femA	2.3.2.17		Aminoacyltransferase FemA
SPN_0140_00335	CDS	1221	femX	2.3.2.16	COG2348	Lipid II:glycine glycyltransferase
SPN_0140_00336	CDS	780	axe1-6A		COG2382	Carbohydrate acetyl esterase/feruloyl esterase
SPN_0140_00337	CDS	1662	rnj2	3.1.-.-		Ribonuclease J 2
SPN_0140_00338	CDS	2223				hypothetical protein
SPN_0140_00339	CDS	759	glnQ_1			Glutamine transport ATP-binding protein GlnQ
SPN_0140_00340	CDS	765	peb1A		COG0834	Major cell-binding factor
SPN_0140_00341	CDS	678	glnM_1		COG0765	putative glutamine ABC transporter permease protein GlnM
SPN_0140_00342	CDS	660	glnP		COG0765	putative glutamine ABC transporter permease protein GlnP
SPN_0140_00343	CDS	1191		1.14.13.239		Carnitine monooxygenase reductase subunit
SPN_0140_00344	CDS	882	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
SPN_0140_00345	CDS	1329				hypothetical protein
SPN_0140_00346	CDS	657	regX3		COG0745	Sensory transduction protein regX3
SPN_0140_00347	CDS	1380				hypothetical protein
SPN_0140_00348	CDS	648			COG1136	putative ABC transporter ATP-binding protein
SPN_0140_00349	CDS	1278				hypothetical protein
SPN_0140_00350	CDS	456				hypothetical protein
SPN_0140_00351	CDS	885	lrp			Leucine-rich protein
SPN_0140_00352	CDS	387	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
SPN_0140_00353	CDS	1344	cysS	6.1.1.16		Cysteine--tRNA ligase
SPN_0140_00354	CDS	885	mshD_1	2.3.1.189		Mycothiol acetyltransferase
SPN_0140_00355	CDS	618	cysE	2.3.1.30	COG1045	Serine acetyltransferase
SPN_0140_00356	CDS	2214	pnp	2.7.7.8		Polyribonucleotide nucleotidyltransferase
SPN_0140_00357	CDS	867	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
SPN_0140_00358	CDS	2250	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
SPN_0140_00359	CDS	198				hypothetical protein
SPN_0140_00360	CDS	303			COG2826	IS30 family transposase ISSpn8
SPN_0140_00361	CDS	1002				hypothetical protein
SPN_0140_00362	CDS	2403	pheT	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
SPN_0140_00363	CDS	510	paiA	2.3.1.57	COG0454	Spermidine/spermine N(1)-acetyltransferase
SPN_0140_00364	CDS	1047	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
SPN_0140_00365	CDS	1416	bglH	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
SPN_0140_00366	CDS	1839	bglF		COG1263	PTS system beta-glucoside-specific EIIBCA component
SPN_0140_00367	CDS	840	licT_1		COG3711	Transcription antiterminator LicT
SPN_0140_00368	CDS	1680				hypothetical protein
SPN_0140_00369	CDS	1008				hypothetical protein
SPN_0140_00370	CDS	270				hypothetical protein
SPN_0140_00371	CDS	273				IS3 family transposase ISSpn11
SPN_0140_00372	CDS	390	insK		COG2801	Putative transposase InsK for insertion sequence element IS150
